female,mating01,male2miss
6,0,1
13,0,1
16,0,1
16,0,1
16,0,1
16,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
27,0,1
29,0,1
29,0,1
29,0,1
29,0,1
29,0,1
29,0,1
31,0,1
31,0,1
65,0,1
65,0,1
65,0,1
65,0,1
65,0,1
65,0,1
65,0,1
65,0,1
65,0,1
65,0,1
65,0,1
81,0,1
91,0,1
91,0,1
91,0,1
103,0,1
105,0,1
105,0,1
105,0,1
105,0,1
105,0,1
105,0,1
105,0,1
105,0,1
105,0,1
105,0,1
106,0,1
106,0,1
106,0,1
106,0,1
106,0,1
106,0,1
106,0,1
106,0,1
106,0,1
106,0,1
108,0,1
108,0,1
108,0,1
108,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
110,0,1
111,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
112,0,1
115,0,1
115,0,1
117,0,1
118,0,1
118,0,1
119,0,1
124,0,1
6,0,2
6,0,2
17,0,2
23,0,2
23,0,2
27,0,2
27,0,2
29,0,2
29,0,2
29,0,2
29,0,2
29,0,2
91,0,2
91,0,2
105,0,2
105,0,2
105,0,2
105,0,2
105,0,2
106,0,2
106,0,2
106,0,2
106,0,2
106,0,2
106,0,2
106,0,2
106,0,2
108,0,2
108,0,2
108,0,2
108,0,2
108,0,2
108,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
110,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
112,0,2
115,0,2
124,0,2
124,0,2
124,0,2
6,0,3
6,0,3
6,0,3
15,0,3
15,0,3
23,0,3
24,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
27,0,3
29,0,3
29,0,3
29,0,3
29,0,3
29,0,3
75,0,3
76,0,3
78,0,3
87,0,3
94,0,3
94,0,3
105,0,3
105,0,3
105,0,3
105,0,3
105,0,3
106,0,3
106,0,3
106,0,3
106,0,3
106,0,3
106,0,3
106,0,3
108,0,3
108,0,3
108,0,3
108,0,3
108,0,3
108,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
110,0,3
112,0,3
112,0,3
112,0,3
112,0,3
115,0,3
124,0,3
124,0,3
124,0,3
6,1,1
27,1,1
27,1,1
28,1,1
28,1,1
28,1,1
43,1,1
65,1,1
65,1,1
65,1,1
65,1,1
80,1,1
103,1,1
105,1,1
108,1,1
108,1,1
108,1,1
108,1,1
108,1,1
110,1,1
110,1,1
110,1,1
110,1,1
110,1,1
111,1,1
118,1,1
118,1,1
118,1,1
124,1,1
124,1,1
92,1,2
105,1,2
108,1,2
124,1,2
124,1,2
2,1,3
2,1,3
106,1,3
106,1,3
106,1,3
106,1,3
106,1,3
106,1,3
110,1,3
110,1,3
110,1,3
110,1,3
110,1,3
110,1,3
110,1,3
110,1,3
124,1,3
124,1,3
